Owner                       , Name                           , Stars , IdadeAnos, Releases, LOC        , Comentarios, CBO        , DIT        , LCOM
Snailclimb                  , JavaGuide                      , 151699,      7.33,        0, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
krahets                     , hello-algo                     , 116518,      2.83,        9, 35.85      , 0.00       , 1.87       , 1.00       , 4.71
GrowingGit                  , GitHub-Chinese-Top-Charts      , 102100,      6.00,        0, 5.00       , 0.00       , 0.00       , 1.00       , 0.00
iluwatar                    , java-design-patterns           ,  92645,     11.08,        0, 18.73      , 0.00       , 3.36       , 1.20       , 1.84
macrozheng                  , mall                           ,  81558,      7.42,        3, 132.77     , 0.00       , 3.93       , 1.24       , 1110.80
spring-projects             , spring-boot                    ,  78359,     12.92,      320, 48.67      , 0.00       , 5.89       , 1.40       , 24.07
doocs                       , advanced-java                  ,  78223,      6.92,        1, 5.00       , 0.00       , 0.00       , 1.00       , 0.00
MisterBooo                  , LeetCodeAnimation              ,  76442,      6.75,        0, 19.50      , 0.00       , 1.00       , 1.00       , 0.00
elastic                     , elasticsearch                  ,  73764,     15.58,      206, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
Stirling-Tools              , Stirling-PDF                   ,  67019,      2.67,      138, 60.42      , 0.00       , 8.18       , 1.23       , 16.50
kdn251                      , interviews                     ,  64459,      8.58,        0, 21.87      , 0.00       , 1.19       , 1.00       , 0.29
TheAlgorithms               , Java                           ,  63341,      9.17,        0, 38.31      , 0.00       , 2.06       , 1.04       , 7.96
NationalSecurityAgency      , ghidra                         ,  60364,      6.50,       46, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
spring-projects             , spring-framework               ,  58829,     14.75,      343, 41.23      , 0.00       , 5.23       , 1.48       , 29.74
google                      , guava                          ,  51095,     11.33,       56, 39.52      , 0.00       , 4.04       , 1.80       , 48.01
ReactiveX                   , RxJava                         ,  48314,     12.67,      241, 31.22      , 0.00       , 2.52       , 1.32       , 47.46
skylot                      , jadx                           ,  45453,     12.50,       32, 44.49      , 0.00       , 4.46       , 1.67       , 32.20
dbeaver                     , dbeaver                        ,  45355,      9.92,      231, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
termux                      , termux-app                     ,  44978,      9.92,       95, 76.52      , 0.00       , 5.91       , 1.43       , 60.83
jeecgboot                   , JeecgBoot                      ,  43843,      6.83,       61, 60.90      , 0.00       , 7.65       , 1.20       , 60.24
apache                      , dubbo                          ,  41333,     13.25,      111, 51.91      , 0.00       , 5.39       , 1.30       , 47.35
PhilJay                     , MPAndroidChart                 ,  38107,     11.42,       44, 68.99      , 0.00       , 8.84       , 1.98       , 91.03
eugenp                      , tutorials                      ,  37253,     12.42,        0, 24.26      , 0.00       , 3.83       , 1.11       , 6.72
halo-dev                    , halo                           ,  36890,      7.50,      227, 32.86      , 0.00       , 7.53       , 1.26       , 6.81
alibaba                     , arthas                         ,  36709,      7.08,       59, 50.43      , 0.00       , 4.75       , 1.36       , 36.86
geekxh                      , hello-algorithm                ,  35769,      5.33,        0, 20.33      , 0.00       , 1.00       , 1.00       , 0.00
airbnb                      , lottie-android                 ,  35467,      8.92,       59, 61.03      , 0.00       , 6.90       , 1.29       , 33.41
TeamNewPipe                 , NewPipe                        ,  35039,     10.00,      137, 70.88      , 0.00       , 8.29       , 1.65       , 43.23
bumptech                    , glide                          ,  34944,     12.17,       53, 40.21      , 0.00       , 6.00       , 1.24       , 19.99
doocs                       , leetcode                       ,  34931,      7.00,       21, 26.88      , 0.00       , 2.55       , 1.01       , 0.34
netty                       , netty                          ,  34424,     14.83,        0, 48.24      , 0.00       , 4.42       , 1.51       , 66.93
xkcoding                    , spring-boot-demo               ,  33903,      7.83,        0, 14.86      , 0.00       , 5.05       , 1.13       , 2.32
Blankj                      , AndroidUtilCode                ,  33640,      9.17,      117, 59.69      , 0.00       , 4.17       , 1.36       , 144.95
alibaba                     , easyexcel                      ,  33616,      7.58,       14, 36.69      , 0.00       , 6.63       , 1.38       , 32.02
zxing                       , zxing                          ,  33581,     13.92,       31, 67.28      , 0.00       , 4.98       , 1.66       , 22.97
YunaiV                      , ruoyi-vue-pro                  ,  33184,      4.67,       46, 25.27      , 0.00       , 8.01       , 1.22       , 16.94
SeleniumHQ                  , selenium                       ,  33172,     12.67,      108, 47.34      , 0.00       , 5.96       , 1.38       , 32.73
alibaba                     , nacos                          ,  32034,      7.25,       84, 46.18      , 0.00       , 5.71       , 1.29       , 22.93
binarywang                  , WxJava                         ,  31888,      9.67,       30, 22.17      , 0.00       , 5.45       , 1.21       , 20.51
apache                      , kafka                          ,  30878,     14.08,        0, 79.62      , 0.00       , 7.79       , 1.44       , 63.06
ityouknow                   , spring-boot-examples           ,  30598,      8.83,        0, 14.53      , 0.00       , 4.73       , 1.03       , 5.03
chinabugotech               , hutool                         ,  30068,     11.42,      153, 49.62      , 0.00       , 3.53       , 1.28       , 102.20
apolloconfig                , apollo                         ,  29652,      9.50,       41, 45.45      , 0.00       , 7.27       , 1.26       , 14.99
keycloak                    , keycloak                       ,  29549,     12.17,       88, 48.99      , 0.00       , 4.23       , 1.29       , 102.42
alibaba                     , canal                          ,  29363,     12.67,       32, 107.33     , 0.00       , 5.81       , 1.38       , 77.36
xuxueli                     , xxl-job                        ,  29289,      9.83,       39, 51.78      , 0.00       , 4.78       , 1.13       , 20.43
conductor-oss               , conductor                      ,  28980,      1.75,       25, 76.13      , 0.00       , 7.79       , 1.27       , 90.39
wuyouzhuguli                , SpringAll                      ,  28958,      7.33,        0, 15.97      , 0.00       , 5.24       , 1.11       , 3.75
alibaba                     , spring-cloud-alibaba           ,  28749,      7.75,       48, 16.60      , 0.00       , 2.60       , 1.20       , 7.60
alibaba                     , druid                          ,  28193,     13.83,       51, 58.44      , 0.00       , 5.09       , 1.94       , 231.22
lenve                       , vhr                            ,  27940,      7.67,        0, 31.61      , 0.00       , 4.44       , 1.02       , 48.33
DrKLO                       , Telegram                       ,  27522,     11.92,       95, 120.03     , 0.00       , 6.84       , 1.66       , 65.09
crossoverJie                , JCSprout                       ,  27072,      7.75,        0, 27.15      , 0.00       , 1.96       , 1.09       , 1.77
qiurunze123                 , miaosha                        ,  26508,      7.00,        0, 30.00      , 0.00       , 4.15       , 1.13       , 14.30
ashishps1                   , awesome-system-design-resources,  25894,      1.92,        0, 30.55      , 0.00       , 0.82       , 1.00       , 0.00
apache                      , incubator-seata                ,  25794,      6.75,       44, 47.57      , 0.00       , 4.84       , 1.38       , 43.63
alibaba                     , fastjson                       ,  25752,     13.83,       84, 32.64      , 0.00       , 1.85       , 1.50       , 126.12
JakeWharton                 , butterknife                    ,  25484,     12.50,        0, 28.35      , 0.00       , 3.96       , 1.24       , 10.48
hollischuang                , toBeTopJavaer                  ,  25464,      6.92,        0, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
apache                      , flink                          ,  25253,     11.25,        0, 46.58      , 0.00       , 7.23       , 1.62       , 38.00
scwang90                    , SmartRefreshLayout             ,  25151,      8.25,       14, 53.21      , 0.00       , 6.65       , 1.51       , 30.32
proxyee-down-org            , proxyee-down                   ,  24868,      7.92,       49, 56.53      , 0.00       , 5.52       , 1.47       , 19.52
OpenAPITools                , openapi-generator              ,  24812,      7.33,       73, 158.84     , 0.00       , 8.30       , 1.79       , 324.39
Anuken                      , Mindustry                      ,  24798,      8.42,      168, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
greenrobot                  , EventBus                       ,  24762,     13.17,        7, 28.79      , 0.00       , 3.43       , 1.84       , 9.05
bazelbuild                  , bazel                          ,  24546,     11.25,      212, 44.78      , 0.00       , 5.96       , 1.38       , 20.60
apache                      , skywalking                     ,  24517,      9.83,       62, 30.77      , 0.00       , 5.79       , 1.37       , 5.48
jenkinsci                   , jenkins                        ,  24423,     14.83,      443, 45.40      , 0.00       , 6.24       , 1.90       , 46.25
yuliskov                    , SmartTube                      ,  24423,      5.17,      913, 74.48      , 0.00       , 6.68       , 1.56       , 66.25
Netflix                     , Hystrix                        ,  24397,     12.83,       79, 32.18      , 0.00       , 3.46       , 1.61       , 21.61
libgdx                      , libgdx                         ,  24335,     13.08,       14, 71.47      , 0.00       , 5.13       , 1.80       , 3447.19
CodePhiliaX                 , Chat2DB                        ,  24236,      2.25,       43, 34.27      , 0.00       , 6.07       , 1.26       , 17.24
google                      , gson                           ,  24038,     10.50,       12, 32.02      , 0.00       , 3.02       , 1.28       , 20.60
redisson                    , redisson                       ,  24024,     11.67,      173, 59.21      , 0.00       , 5.96       , 1.34       , 180.67
doocs                       , source-code-hunter             ,  22949,      5.92,        0, 5.00       , 0.00       , 0.00       , 1.00       , 0.00
alibaba                     , Sentinel                       ,  22901,      7.42,       25, 29.95      , 0.00       , 5.02       , 1.12       , 7.06
iBotPeaches                 , Apktool                        ,  22889,     13.50,       26, 66.24      , 0.00       , 6.54       , 1.84       , 50.71
EnterpriseQualityCoding     , FizzBuzzEnterpriseEdition      ,  22774,     12.83,        0, 9.59       , 0.00       , 2.89       , 1.00       , 0.22
apache                      , rocketmq                       ,  22091,      8.83,       22, 75.16      , 0.00       , 6.88       , 1.33       , 121.70
google                      , ExoPlayer                      ,  21877,     11.25,       28, 79.96      , 0.00       , 7.59       , 1.30       , 52.22
dataease                    , dataease                       ,  21832,      4.58,       98, 38.77      , 0.00       , 4.95       , 1.21       , 27.77
elunez                      , eladmin                        ,  21782,      6.75,        1, 28.59      , 0.00       , 8.01       , 1.16       , 6.20
openjdk                     , jdk                            ,  21685,      7.00,        0, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
LSPosed                     , LSPosed                        ,  21524,      4.75,       39, 53.75      , 0.00       , 5.52       , 1.65       , 48.11
kestra-io                   , kestra                         ,  21135,      6.08,      307, 34.50      , 0.00       , 8.21       , 1.46       , 14.83
oracle                      , graal                          ,  21083,      9.67,       32, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
CarGuo                      , GSYVideoPlayer                 ,  21078,      8.83,       53, 50.20      , 0.00       , 5.49       , 1.58       , 55.36
brettwooldridge             , HikariCP                       ,  20710,     11.92,        0, 61.97      , 0.00       , 4.38       , 1.29       , 172.67
kunal-kushwaha              , DSA-Bootcamp-Java              ,  20625,      4.17,        0, 26.14      , 0.00       , 1.27       , 1.08       , 3.50
apache                      , shardingsphere                 ,  20445,      9.67,       58, 18.29      , 0.00       , 4.54       , 1.28       , 4.15
didi                        , DoKit                          ,  20387,      7.08,       14, 51.29      , 0.00       , 4.51       , 1.32       , 71.77
mybatis                     , mybatis-3                      ,  20229,     12.58,       46, 34.65      , 0.00       , 3.54       , 1.24       , 20.95
ReactiveX                   , RxAndroid                      ,  20063,     11.08,       20, 26.40      , 0.00       , 2.27       , 1.13       , 3.09
linlinjava                  , litemall                       ,  19908,      7.50,        8, 147.30     , 0.00       , 4.62       , 1.13       , 1532.88
yudaocode                   , SpringBoot-Labs                ,  19856,      7.00,        0, 10.90      , 0.00       , 4.26       , 1.04       , 0.42
thingsboard                 , thingsboard                    ,  19682,      8.75,       70, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
xiaojieonly                 , Ehviewer_CN_SXJ                ,  19640,      4.83,      106, 82.01      , 0.00       , 6.88       , 1.72       , 68.48
dianping                    , cat                            ,  18931,     12.75,        3, 51.80      , 0.00       , 5.53       , 1.43       , 23.04
Baseflow                    , PhotoView                      ,  18871,     13.17,        5, 39.82      , 0.00       , 4.73       , 1.36       , 24.60
JetBrains                   , intellij-community             ,  18773,     14.00,        4, 60.52      , 0.00       , 9.56       , 1.86       , 45.34
antlr                       , antlr4                         ,  18327,     15.58,       31, 61.97      , 0.00       , 5.77       , 1.84       , 48.30
williamfiset                , Algorithms                     ,  18212,      8.50,        0, 70.18      , 0.00       , 2.61       , 1.05       , 16.20
Tencent                     , APIJSON                        ,  18186,      8.83,      110, 197.77     , 0.00       , 5.89       , 1.24       , 1165.57
dromara                     , Sa-Token                       ,  18153,      5.58,       38, 36.02      , 0.00       , 4.51       , 1.22       , 61.15
lionsoul2014                , ip2region                      ,  18140,      9.83,        1, 45.92      , 0.00       , 3.47       , 1.21       , 4.76
LMAX-Exchange               , disruptor                      ,  17980,     13.00,       14, 32.11      , 0.00       , 4.48       , 1.29       , 25.88
forezp                      , SpringCloudLearning            ,  17973,      8.42,        0, 7.85       , 0.00       , 4.55       , 1.05       , 0.55
ashishps1                   , awesome-low-level-design       ,  17875,      1.83,        0, 18.42      , 0.00       , 2.63       , 1.14       , 3.05
YunaiV                      , yudao-cloud                    ,  17844,      6.33,       32, 25.35      , 0.00       , 8.13       , 1.20       , 17.67
Tencent                     , tinker                         ,  17538,      9.00,       60, 77.78      , 0.00       , 4.79       , 1.60       , 28.47
openzipkin                  , zipkin                         ,  17300,     13.25,       97, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
infinilabs                  , analysis-ik                    ,  17210,     13.75,        1, 67.66      , 0.00       , 4.82       , 1.37       , 15.42
justauth                    , JustAuth                       ,  17184,      6.67,       46, 30.58      , 0.00       , 5.51       , 1.34       , 12.98
facebook                    , fresco                         ,  17139,     10.50,       55, 47.79      , 0.00       , 6.64       , 1.42       , 28.76
baomidou                    , mybatis-plus                   ,  17100,      9.08,       38, 34.56      , 0.00       , 5.76       , 1.34       , 25.01
ben-manes                   , caffeine                       ,  17025,     10.75,       71, 63.69      , 0.00       , 4.90       , 1.59       , 163.17
material-components         , material-components-android    ,  16948,      8.75,      112, 55.59      , 0.00       , 7.13       , 1.54       , 91.92
nostra13                    , Android-Universal-Image-Loader ,  16919,     13.83,        0, 53.10      , 0.00       , 4.86       , 1.59       , 28.84
alibaba                     , DataX                          ,  16798,      7.67,        7, 66.44      , 0.00       , 4.50       , 1.72       , 22.65
winterbe                    , java8-tutorial                 ,  16780,     11.50,        0, 23.65      , 0.00       , 1.03       , 1.00       , 3.91
shuzheng                    , zheng                          ,  16730,      8.92,        0, 82.01      , 0.00       , 4.53       , 1.41       , 340.86
Grasscutters                , Grasscutter                    ,  16661,      3.42,       20, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
heibaiying                  , BigData-Notes                  ,  16644,      6.50,        0, 27.58      , 0.00       , 5.71       , 1.22       , 0.82
JeffLi1993                  , springboot-learning-example    ,  16555,      8.58,        0, 14.39      , 0.00       , 4.61       , 1.04       , 2.85
gyoogle                     , tech-interview-for-developer   ,  16507,      6.25,        0, 48.92      , 0.00       , 1.31       , 1.00       , 0.92
prestodb                    , presto                         ,  16498,     13.08,       12, 56.98      , 0.00       , 7.38       , 1.53       , 43.71
questdb                     , questdb                        ,  16083,     11.42,       93, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
android-hacker              , VirtualXposed                  ,  15823,      7.75,       50, 32.85      , 0.00       , 3.95       , 2.79       , 14.70
dyc87112                    , SpringBoot-Learning            ,  15791,      9.08,        0, 10.37      , 0.00       , 4.45       , 1.03       , 1.45
android10                   , Android-CleanArchitecture      ,  15562,     11.08,        0, 21.52      , 0.00       , 5.14       , 1.43       , 6.72
mockito                     , mockito                        ,  15272,     12.92,      222, 24.85      , 0.00       , 3.47       , 1.40       , 18.33
apache                      , hadoop                         ,  15252,     11.08,        0, 79.65      , 0.00       , 6.77       , 1.58       , 63.33
Konloch                     , bytecode-viewer                ,  15210,     10.92,       61, 52.56      , 0.00       , 4.74       , 2.05       , 13.69
neo4j                       , neo4j                          ,  15052,     12.83,       72, 61.56      , 0.00       , 6.61       , 1.90       , 78.78
quarkusio                   , quarkus                        ,  14959,      7.17,      415, 46.17      , 0.00       , 4.59       , 1.52       , 18.89
zhisheng17                  , flink-learning                 ,  14927,      6.67,        0, 14.38      , 0.00       , 3.16       , 1.09       , 0.09
apache                      , pulsar                         ,  14842,      9.25,      112, 70.33      , 0.00       , 6.87       , 1.71       , 85.27
java-decompiler             , jd-gui                         ,  14731,     10.50,       18, 47.44      , 0.00       , 4.54       , 2.42       , 11.12
elastic                     , logstash                       ,  14629,     14.83,      206, 47.03      , 0.00       , 5.42       , 1.64       , 21.13
eclipse-vertx               , vert.x                         ,  14566,     14.25,        0, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
hdodenhof                   , CircleImageView                ,  14534,     11.67,        0, 120.00     , 0.00       , 11.00      , 2.33       , 178.67
Tencent                     , QMUI_Android                   ,  14513,      8.42,       35, 54.70      , 0.00       , 5.47       , 1.63       , 35.34
supertokens                 , supertokens-core               ,  14504,      5.67,       91, 110.34     , 0.00       , 11.00      , 1.60       , 71.14
alibaba                     , ARouter                        ,  14491,      8.75,       16, 32.30      , 0.00       , 3.69       , 1.41       , 17.45
arduino                     , Arduino                        ,  14422,     15.00,       37, 57.32      , 0.00       , 4.13       , 1.77       , 32.72
apache                      , doris                          ,  14259,      8.08,       74, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
theonedev                   , onedev                         ,  14247,      6.83,      430, 40.15      , 0.00       , 5.83       , 1.41       , 26.14
deeplearning4j              , deeplearning4j                 ,  14096,     11.83,        0, 55.26      , 0.00       , 6.78       , 1.43       , 36.69
zaproxy                     , zaproxy                        ,  14082,     10.25,       20, 72.57      , 0.00       , 4.74       , 1.91       , 69.65
GoogleContainerTools        , jib                            ,  14014,      7.67,      168, 50.10      , 0.00       , 7.06       , 1.22       , 17.07
orhanobut                   , logger                         ,  13888,     10.50,       16, 45.94      , 0.00       , 5.83       , 1.17       , 14.94
Netflix                     , zuul                           ,  13886,     12.50,       28, 43.10      , 0.00       , 6.51       , 1.61       , 24.89
apache                      , dolphinscheduler               ,  13825,      6.50,       53, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
apache                      , druid                          ,  13824,     12.92,       68, 58.44      , 0.00       , 5.09       , 1.94       , 231.22
seaswalker                  , spring-analysis                ,  13728,      9.00,        0, 11.45      , 0.00       , 2.42       , 1.24       , 1.79
pinpoint-apm                , pinpoint                       ,  13712,     10.92,       61, 31.49      , 0.00       , 5.18       , 1.14       , 11.38
DuGuQiuBai                  , Java                           ,  13695,      9.83,        0, 38.31      , 0.00       , 2.06       , 1.04       , 7.96
sqshq                       , piggymetrics                   ,  13695,     10.50,        2, 19.00      , 0.00       , 6.04       , 1.06       , 3.83
JessYanCoding               , AndroidAutoSize                ,  13690,      7.08,       14, 35.10      , 0.00       , 5.41       , 1.41       , 31.29
Curzibn                     , Luban                          ,  13674,      9.17,        6, 37.52      , 0.00       , 2.97       , 1.17       , 10.86
lgvalle                     , Material-Animations            ,  13645,     10.50,        0, 22.44      , 0.00       , 4.40       , 1.47       , 4.76
cryptomator                 , cryptomator                    ,  13602,     11.58,      193, 39.03      , 0.00       , 8.32       , 1.43       , 18.51
janishar                    , mit-deep-learning-book-pdf     ,  13583,      8.42,        3, 2.00       , 0.00       , 0.00       , 1.00       , 0.00
languagetool-org            , languagetool                   ,  13560,     12.08,        0, 104.70     , 0.00       , 5.65       , 1.49       , 81.90
tink-crypto                 , tink                           ,  13555,     11.25,       21, 56.08      , 0.00       , 7.67       , 1.29       , 30.08
LuckSiege                   , PictureSelector                ,  13544,      8.67,      116, 53.06      , 0.00       , 5.16       , 1.24       , 49.45
Bigkoo                      , Android-PickerView             ,  13480,     10.75,        0, 48.58      , 0.00       , 3.73       , 1.15       , 15.49
kekingcn                    , kkFileView                     ,  13306,      7.75,       16, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
projectlombok               , lombok                         ,  13266,     16.25,        0, CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR   , CK_ERROR
macrozheng                  , mall-learning                  ,  13249,      6.42,        0, 57.77      , 0.00       , 4.97       , 1.10       , 229.51
youth5201314                , banner                         ,  13037,      9.42,        0, 37.32      , 0.00       , 6.08       , 1.84       , 47.68
ashishps1                   , awesome-leetcode-resources     ,  12923,      1.92,        0, 32.73      , 0.00       , 1.18       , 1.00       , 4.73
pxb1988                     , dex2jar                        ,  12899,     10.50,        8, 73.06      , 0.00       , 5.43       , 1.57       , 21.13
Netflix                     , conductor                      ,  12775,      8.75,      319, 76.13      , 0.00       , 7.79       , 1.27       , 90.39
facebook                    , stetho                         ,  12708,     10.67,       13, 32.72      , 0.00       , 4.38       , 1.42       , 7.50
codecentric                 , spring-boot-admin              ,  12685,     11.17,      137, 29.83      , 0.00       , 7.79       , 1.26       , 7.28
google                      , guice                          ,  12673,     11.33,       19, 21.82      , 0.00       , 3.80       , 1.30       , 8.45
alibaba                     , COLA                           ,  12650,      7.58,       11, 17.32      , 0.00       , 4.35       , 1.33       , 5.02
greenrobot                  , greenDAO                       ,  12627,     13.92,        8, 50.95      , 0.00       , 5.02       , 2.10       , 47.45
Netflix                     , eureka                         ,  12621,     13.17,      151, 44.31      , 0.00       , 5.88       , 1.27       , 18.57
macrozheng                  , mall-swarm                     ,  12601,      5.83,        3, 132.99     , 0.00       , 3.79       , 1.23       , 1106.23
apache                      , zookeeper                      ,  12595,     16.50,        0, 69.86      , 0.00       , 5.67       , 2.01       , 36.86
zhihu                       , Matisse                        ,  12566,      8.42,       15, 44.97      , 0.00       , 6.66       , 1.39       , 8.08
daimajia                    , AndroidViewAnimations          ,  12471,     11.25,        9, 11.77      , 0.00       , 3.38       , 1.80       , 2.29
